IPA Segment,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,tense,long
χʰ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,-,-,+,-,0,-
fʰ,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
sʰ,-,-,+,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,0,-
s̪ʰ,-,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,0,-
ɸʰ,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
θʰ,-,-,+,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0,-
ɧʰ,-,-,+,+,+,-,-,0,-,+,-,-,+,+,-,+,-,0,-,0,-
ɕʰ,-,-,+,+,+,-,-,+,-,+,-,+,+,+,-,+,-,-,-,0,-
ʰk͡p,-,-,+,-,-,-,-,0,-,+,-,0,-,0,+,+,-,0,-,0,-
ʰc,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,-,-,0,-
ʰk,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,+,-,+,-,0,-
ʰq,-,-,+,-,-,-,-,0,-,+,-,-,-,0,-,-,-,+,-,0,-
ʰʈ,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,-
ʰp,-,-,+,-,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
ʰp͡t,-,-,+,-,-,-,-,0,-,+,-,+,+,-,+,-,-,-,-,0,-
ʰt,-,-,+,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,-
ʰt̪,-,-,+,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0,-
ʰk͡x,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,+,-,0,-,0,-
ʰp͡ɸ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,+,0,0,0,-,0,-
ʰq͡χ,-,-,+,-,+,-,-,0,-,+,-,0,-,0,-,-,-,+,-,0,-
ʰc͡ç,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,0,-
ʰt͡ʃ,-,-,+,-,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,0,-
ʰʈ͡ʂ,-,-,+,-,+,-,-,+,-,+,-,-,+,-,-,0,0,0,-,0,-
ʰp͡f,-,-,+,-,+,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
ʰt̪͡s̪,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,0,0,0,-,0,-
ʰt̪͡ɬ̪,-,-,+,-,+,+,-,-,-,+,-,+,+,+,-,0,0,0,-,0,-
ʰt̪͡θ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,0,0,0,-,0,-
ʰt͡s,-,-,+,-,+,-,-,+,-,+,-,+,+,-,-,-,-,-,-,0,-
ʰt͡ɕ,-,-,+,-,+,-,-,+,-,+,-,+,+,+,-,+,-,-,-,0,-
ʰt͡ɬ,-,-,+,-,+,+,-,-,-,+,-,+,+,-,-,0,0,0,-,0,-
ʰx,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,+,-,0,-
ʰç,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,+,-,-,-,0,-
ʰħ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,-,+,+,-,0,-
ʰʂ,-,-,+,+,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,0,-
ʰʃ,-,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,0,-
ʰχ,-,-,+,+,-,-,-,0,-,+,-,-,-,0,-,-,-,+,-,0,-
ʰf,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
ʰs,-,-,+,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,0,-
ʰs̪,-,-,+,+,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,0,-
ʰɸ,-,-,+,+,-,-,-,0,-,+,-,+,-,0,+,-,-,-,-,0,-
ʰθ,-,-,+,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0,-
ʰɧ,-,-,+,+,+,-,-,0,-,+,-,-,+,+,-,+,-,0,-,0,-
ʰɕ,-,-,+,+,+,-,-,+,-,+,-,+,+,+,-,+,-,-,-,0,-
ʰɬ,-,-,+,+,+,+,-,-,-,+,-,+,+,-,-,0,0,0,-,0,-
ʰɬ̪,-,-,+,+,+,+,-,-,-,+,-,+,+,+,-,0,0,0,-,0,-
k̟͡p̟,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,0,-
ɡ̟͡b̟,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,0,-,0,-
c̟,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ɡ̟,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
k̟,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
q̟,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
ɖ̟,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,-,-,-,-,0,-
ɟ̟,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ɠ̟,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ɢ̟,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʄ̟,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ʈ̟,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-
ʛ̟,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,-,-,+,-,0,-
b̟,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
b̟͡d̟,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,0,-
d̟,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,0,-
d̪̟,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
p̟,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
p̟͡t̟,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,-,-,-,0,-
t̟,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-
t̪̟,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɓ̟,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ɗ̟,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,0,-
b̟͡β̟,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,0,0,0,-,0,-
k̟͡x̟,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,0,-,0,-
p̟͡ɸ̟,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,0,0,0,-,0,-
q̟͡χ̟,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,-,-,+,-,0,-
ɡ̟͡ɣ̟,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɢ̟͡ʁ̟,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
c̟͡ç̟,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,0,-
d̟͡ʒ̟,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
t̟͡ʃ̟,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ɖ̟͡ʐ̟,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,0,0,0,-,0,-
ɟ̟͡ʝ̟,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
ʈ̟͡ʂ̟,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,0,0,0,-,0,-
b̟͡v̟,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
d̪̟͡z̪̟,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪̟͡ð̟,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪̟͡ɮ̪̟,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d̟͡z̟,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
d̟͡ɮ̟,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
d̟͡ʑ̟,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
p̟͡f̟,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
t̪̟͡s̪̟,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪̟͡ɬ̪̟,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪̟͡θ̟,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t̟͡s̟,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-
t̟͡ɕ̟,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
t̟͡ɬ̟,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
x̟,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ç̟,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ħ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,+,+,-,0,-
ɣ̟,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ʁ̟,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʂ̟,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,-
ʃ̟,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ʐ̟,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-
ʒ̟,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
ʕ̟,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,+,+,-,0,-
ʝ̟,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
χ̟,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
f̟,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
s̟,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-
s̪̟,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,0,-
v̟,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
z̟,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
z̪̟,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,-,-,-,-,0,-
ð̟,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɸ̟,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
β̟,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
θ̟,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɧ̟,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,0,-,0,-
ɕ̟,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
ɬ̟,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
ɬ̪̟,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
ɮ̟,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ʑ̟,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
ɱ̟,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʔ̟,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,-,-,-,-,0,-
ŋ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ɳ̟,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,0,-
ɴ̟,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,-,-,+,-,0,-
m̟,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,-,-,-,-,0,-
n̟,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,0,-
n̪̟,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɲ̟,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,-,-,0,-
ɥ̟,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,-,+,+,-
ɰ̟,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,0,-,+,-
ʋ̟,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʀ̟,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
ʙ̟,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʟ̟,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɭ̟,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ɽ̟,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ʎ̟,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
r̟,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
r̪̟,-,+,+,+,0,-,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
ɫ̟,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,-,-,+,-,0,-
ɺ̟,-,+,+,+,0,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ɾ̟,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ʍ̟,-,+,-,+,-,-,-,0,-,-,-,-,-,0,+,+,-,+,+,0,-
h̟,-,+,+,+,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0,-
j̟,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
w̟,-,+,-,+,-,-,-,0,+,-,-,-,-,0,+,+,-,+,+,0,-
ɹ̟,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,+,-,+,+,0,-
ɻ̟,-,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,0,-
l̟,-,+,+,+,-,+,-,-,+,-,-,+,+,-,-,-,-,-,-,0,-
l̪̟,-,+,+,+,-,+,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɦ̟,-,+,+,+,-,-,+,0,-,-,-,-,-,0,-,-,-,-,-,0,-
ɑ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,+,+,-,+,-
ɘ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,-,-,-,+,-
ɞ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,-,-,-,+,-,-
ɤ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ɵ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,-,-,-,+,+,-
ʉ̟,+,+,-,+,0,-,-,0,+,-,-,-,-,-,+,+,-,-,+,+,-
a̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,-,+,-
e̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,-,+,-
i̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,-,+,-
o̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,+,-
u̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,+,+,-,+,+,+,-
y̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,+,+,-,-,+,+,-
æ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,-,-,+,-
ø̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,+,+,-
œ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,+,-,-
ɒ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,+,+,+,-
ɔ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,-,-
ə̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,-,-
ɘ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,-,-
ɵ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,-,-
ɞ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,+,+,-
ɜ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ɛ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,-,-,-,-
ɨ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,-,+,-
ɪ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,-,-,-
ɯ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,-,-,-
ɶ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,+,-,+,+,-
ʊ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,+,+,-,-
ɐ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ʌ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,-,-,+,-,+,-
ʏ̟,+,+,-,+,-,-,-,0,+,-,-,-,-,-,-,+,-,-,+,-,-
k̠͡p̠,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,0,-
ɡ̠͡b̠,-,-,+,-,-,-,-,0,+,-,-,0,-,0,+,+,-,0,-,0,-
c̠,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ɡ̠,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
k̠,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
q̠,-,-,+,-,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
ɖ̠,-,-,+,-,-,-,-,0,+,-,-,-,+,-,-,-,-,-,-,0,-
ɟ̠,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
ɠ̠,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,+,-,0,-
ɢ̠,-,-,+,-,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʄ̠,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,+,-,-,-,0,-
ʈ̠,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,-
ʛ̠,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,-,-,+,-,0,-
b̠,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
b̠͡d̠,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,0,-
d̠,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,0,-
d̪̠,-,-,+,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
p̠,-,-,+,-,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
p̠͡t̠,-,-,+,-,-,-,-,0,-,-,-,+,+,-,+,-,-,-,-,0,-
t̠,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,-
t̪̠,-,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɓ̠,-,-,+,-,-,-,-,0,+,-,+,+,-,0,+,-,-,-,-,0,-
ɗ̠,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,0,-
b̠͡β̠,-,-,+,-,+,-,-,0,+,-,-,0,-,0,+,0,0,0,-,0,-
k̠͡x̠,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,+,-,0,-,0,-
p̠͡ɸ̠,-,-,+,-,+,-,-,0,-,-,-,0,-,0,+,0,0,0,-,0,-
q̠͡χ̠,-,-,+,-,+,-,-,0,-,-,-,0,-,0,-,-,-,+,-,0,-
ɡ̠͡ɣ̠,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɢ̠͡ʁ̠,-,-,+,-,+,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
c̠͡ç̠,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,-,-,-,0,-
d̠͡ʒ̠,-,-,+,-,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
t̠͡ʃ̠,-,-,+,-,+,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ɖ̠͡ʐ̠,-,-,+,-,+,-,-,+,+,-,-,-,+,-,-,0,0,0,-,0,-
ɟ̠͡ʝ̠,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
ʈ̠͡ʂ̠,-,-,+,-,+,-,-,+,-,-,-,-,+,-,-,0,0,0,-,0,-
b̠͡v̠,-,-,+,-,+,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
d̪̠͡z̪̠,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪̠͡ð̠,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d̪̠͡ɮ̪̠,-,-,+,-,+,+,-,-,+,-,-,+,+,+,-,0,0,0,-,0,-
d̠͡z̠,-,-,+,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
d̠͡ɮ̠,-,-,+,-,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
d̠͡ʑ̠,-,-,+,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
p̠͡f̠,-,-,+,-,+,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
t̪̠͡s̪̠,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪̠͡ɬ̪̠,-,-,+,-,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t̪̠͡θ̠,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
t̠͡s̠,-,-,+,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-
t̠͡ɕ̠,-,-,+,-,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
t̠͡ɬ̠,-,-,+,-,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
x̠,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,+,-,0,-
ç̠,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,+,-,-,-,0,-
ħ,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,+,+,-,0,-
ɣ̠,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ʁ̠,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,-,+,-,0,-
ʂ̠,-,-,+,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,-
ʃ̠,-,-,+,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,0,-
ʐ̠,-,-,+,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,0,-
ʒ̠,-,-,+,+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,0,-
ʕ̠,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,+,+,-,0,-
ʝ̠,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,0,-
χ̠,-,-,+,+,-,-,-,0,-,-,-,-,-,0,-,-,-,+,-,0,-
f̠,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
s̠,-,-,+,+,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,0,-
s̪̠,-,-,+,+,-,-,-,+,-,-,-,+,+,+,-,-,-,-,-,0,-
v̠,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
z̠,-,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,0,-
z̪̠,-,-,+,+,-,-,-,+,+,-,-,+,+,+,-,-,-,-,-,0,-
ð̠,-,-,+,+,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɸ̠,-,-,+,+,-,-,-,0,-,-,-,+,-,0,+,-,-,-,-,0,-
β̠,-,-,+,+,-,-,-,0,+,-,-,+,-,0,+,-,-,-,-,0,-
θ̠,-,-,+,+,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0,-
ɧ̠,-,-,+,+,+,-,-,0,-,-,-,-,+,+,-,+,-,0,-,0,-
ɕ̠,-,-,+,+,+,-,-,+,-,-,-,+,+,+,-,+,-,-,-,0,-
ɬ̠,-,-,+,+,+,+,-,-,-,-,-,+,+,-,-,0,0,0,-,0,-
ɬ̪̠,-,-,+,+,+,+,-,-,-,-,-,+,+,+,-,0,0,0,-,0,-
ɮ̠,-,-,+,+,+,+,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
ʑ̠,-,-,+,+,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,0,-
ɱ̠,-,+,+,-,0,-,+,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʔ̠,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,-,-,-,-,0,-
ŋ,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,+,-,+,-,0,-
ɳ̠,-,+,+,-,-,-,+,-,+,-,-,-,+,0,-,-,-,-,-,0,-
ɴ̠,-,+,+,-,-,-,+,0,+,-,-,-,-,0,-,-,-,+,-,0,-
m̠,-,+,+,-,-,-,+,0,+,-,-,+,-,0,+,-,-,-,-,0,-
n̠,-,+,+,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,0,-
n̪̠,-,+,+,-,-,-,+,-,+,-,-,+,+,+,-,-,-,-,-,0,-
ɲ̠,-,+,+,-,-,-,+,-,+,-,-,+,-,0,-,+,-,-,-,0,-
ɥ̠,-,+,-,+,0,-,-,0,+,-,-,0,-,0,+,+,-,-,+,+,-
ɰ̠,-,+,-,+,0,-,-,0,+,-,-,0,-,0,-,+,-,0,-,+,-
ʋ̠,-,+,-,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʀ̠,-,+,+,+,0,-,-,0,+,-,-,0,-,0,-,-,-,+,-,0,-
ʙ̠,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,0,-
ʟ̠,-,+,+,+,0,+,-,0,+,-,-,0,-,0,-,+,-,0,-,0,-
ɭ̠,-,+,+,+,0,+,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ɽ̠,-,+,+,+,0,-,-,-,+,-,-,-,+,-,-,0,0,0,-,0,-
ʎ̠,-,+,+,+,0,+,-,0,+,-,-,-,+,+,-,+,-,-,-,0,-
r̠,-,+,+,+,0,-,-,-,+,-,-,+,+,-,-,0,0,0,-,0,-
